Area_sqft,bathrooms,balconies,current_floor,total_floors,furnishing_status,Mapped_Area,facing,property_age_bucket,is_ready_to_move,is_built_up_area,is_carpet_area,is_super_built_up_area,Bedrooms,price
2520.0,3.0,1.0,4.0,8.0,0.0,16.0,8.0,4.0,1,False,False,True,3.0,130.0
1845.0,3.0,1.0,2.0,5.0,3.0,11.0,0.0,1.0,1,False,False,True,3.0,95.0
1260.0,3.0,1.0,4.0,8.0,1.0,11.0,8.0,2.0,1,False,False,False,3.0,82.0
1107.0,2.0,3.0,7.0,7.0,3.0,33.0,0.0,0.0,1,False,True,False,2.0,49.5
1845.0,3.0,2.0,2.0,5.0,3.0,19.0,2.0,2.0,1,True,False,False,3.0,77.0
930.0,2.0,1.0,5.0,8.0,3.0,11.0,2.0,2.0,1,False,True,False,2.0,65.0
2070.0,3.0,1.0,4.0,7.0,3.0,11.0,8.0,3.0,1,True,False,False,3.0,103.0
1845.0,3.0,1.0,4.0,8.0,3.0,11.0,4.0,3.0,1,False,False,True,3.0,90.0
2448.0,3.0,1.0,3.0,9.0,3.0,11.0,0.0,0.0,1,False,False,True,3.0,155.0
1782.0,3.0,1.0,2.0,8.0,3.0,11.0,0.0,2.0,1,False,False,True,3.0,72.0
1323.0,2.0,1.0,7.0,11.0,3.0,19.0,0.0,0.0,1,False,False,True,2.0,65.0
1095.0,2.0,1.0,8.5,25.0,0.0,5.0,8.0,3.0,1,False,False,True,2.0,140.0
2250.0,3.0,1.0,5.0,8.0,3.0,14.0,0.0,3.0,1,False,False,True,3.0,129.0
1485.0,2.0,1.0,3.0,7.0,3.0,15.0,0.0,3.0,1,False,False,True,2.0,51.0
1447.0,3.0,1.0,4.0,9.0,1.0,16.0,8.0,0.0,1,False,True,False,3.0,120.0
1800.0,3.0,1.0,4.0,8.0,2.0,11.0,8.0,3.0,1,False,False,True,3.0,80.0
1215.0,3.0,1.0,2.0,7.0,0.0,11.0,8.0,0.0,1,False,True,False,3.0,85.0
1440.0,2.0,1.0,9.0,11.0,3.0,19.0,2.0,0.0,1,False,True,False,2.0,65.0
708.0,2.0,1.0,2.0,8.0,3.0,19.0,2.0,0.0,1,False,True,False,2.0,60.0
