Price,Area,Bathrooms,Balconies,Current_Floor,Total_Floors,Furnishing_Status,Mapped_Area,Facing,Property_Age,Bedrooms,Area_Type,Property_Status
184.0,2637.0,3.0,3.0,4.0,8.0,Unknown,Kudasan,Unknown,New,3.0,Super Built-up,Ready_to_Move
85.6,1998.0,3.0,1.0,5.0,13.0,Unknown,Randesan,Unknown,New,3.0,Super Built-up,Ready_to_Move
85.0,2540.2804,3.0,3.0,8.0,9.0,semi-furnished,Sargasan,East,1-5 years,3.0,Built-up,Ready_to_Move
325.0,2800.0,5.0,3.0,1.0,7.0,unfurnished,Sargasan,East,1-5 years,4.0,Carpet,Ready_to_Move
75.0,791.0,3.0,1.0,7.0,11.0,unfurnished,Sargasan,East,New,3.0,Carpet,Ready_to_Move
150.0,1574.0,3.0,1.0,1.0,12.0,unfurnished,Raysan,East,New,3.0,Carpet,Ready_to_Move
110.0,2142.0,3.0,1.0,4.0,5.0,unfurnished,Sargasan,Unknown,1-5 years,3.0,Super Built-up,Ready_to_Move
220.00000000000003,4410.0,4.0,2.0,4.0,8.0,Unknown,Koba,Unknown,Unknown,4.0,Built-up,Ready_to_Move
155.0,2263.0,3.0,1.0,4.0,8.0,Unknown,Koba,Unknown,New,3.0,Carpet,Ready_to_Move
130.0,2520.0,3.0,1.0,4.0,8.0,Unknown,Raysan,Unknown,Unknown,3.0,Super Built-up,Ready_to_Move
95.0,1845.0,3.0,1.0,2.0,5.0,unfurnished,Kudasan,East,10-20 years,3.0,Super Built-up,Ready_to_Move
82.0,1260.0,3.0,1.0,4.0,8.0,furnished,Kudasan,Unknown,5-10 years,3.0,Carpet,Ready_to_Move
49.5,1107.0,2.0,3.0,7.0,7.0,unfurnished,Vavol,East,1-5 years,2.0,Carpet,Ready_to_Move
77.0,1845.0,3.0,2.0,2.0,5.0,unfurnished,Sargasan,North-East,5-10 years,3.0,Built-up,Ready_to_Move
65.0,930.0,2.0,1.0,5.0,8.0,unfurnished,Kudasan,North-East,5-10 years,2.0,Carpet,Ready_to_Move
103.0,2070.0,3.0,1.0,4.0,7.0,unfurnished,Kudasan,Unknown,New,3.0,Built-up,Ready_to_Move
90.0,1845.0,3.0,1.0,4.0,8.0,unfurnished,Kudasan,Other,New,3.0,Super Built-up,Ready_to_Move
155.0,2448.0,3.0,1.0,3.0,9.0,unfurnished,Kudasan,East,1-5 years,3.0,Super Built-up,Ready_to_Move
72.0,1782.0,3.0,1.0,2.0,8.0,unfurnished,Kudasan,East,5-10 years,3.0,Super Built-up,Ready_to_Move
